price,area,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,type_of_building
6040000,1341,3,2,,Ready to Move,Resale,,,,Flat
22000000,2835,4,5,4,,Resale,2,Unfurnished,,Individual House
3000000,630,2,2,1,Ready to Move,Resale,1,Semi-Furnished,,Flat
23500000,2985,3,3,2,Ready to Move,Resale,,,,Flat
15000000,2550,4,4,5,Ready to Move,Resale,2,Semi-Furnished,,Flat
11000000,1510,3,2,4,Ready to Move,Resale,1,,2,Flat
4500000,1000,3,2,1,Ready to Move,Resale,,Semi-Furnished,,Flat
5000000,1205,2,2,2,Ready to Move,Resale,,,,Flat
4000000,1010,2,2,3,Ready to Move,Resale,1,,4,Flat
6200000,950,3,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Flat
9800000,1765,3,3,2,,Resale,1,Unfurnished,,Flat
6600000,1455,3,3,4,Ready to Move,Resale,1,Semi-Furnished,,Flat
5500000,1000,3,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
14000000,1750,3,4,2,Ready to Move,Resale,10,Semi-Furnished,1,Flat
15000000,1900,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
13200000,1935,3,3,2,Ready to Move,Resale,,Furnished,1,Flat
2800000,800,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Individual House
14000000,1800,3,3,1,Ready to Move,Resale,,Unfurnished,,Flat
3400000,850,2,2,,Ready to Move,Resale,,Unfurnished,,Flat
11500000,1478,2,2,3,Ready to Move,Resale,,,,Flat
3300000,900,2,2,1,Ready to Move,New Property,,Unfurnished,,Flat
6000000,1234,2,2,,Ready to Move,Resale,,Furnished,,Flat
5600000,1507,2,3,,Ready to Move,Resale,,,,Individual House
5800000,1365,3,3,2,Ready to Move,Resale,,Unfurnished,,Flat
2100000,615,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
5200000,1140,2,2,3,Ready to Move,Resale,1,,3,Individual House
8000000,1325,2,2,2,Ready to Move,Resale,702,,4,Individual House
7650000,997,2,2,2,Ready to Move,Resale,,,,Flat
5500000,1100,3,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Flat
5400000,1405,3,2,3,Ready to Move,Resale,2,,2,Individual House
8500000,1775,3,3,3,Ready to Move,Resale,2,,2,Flat
6000000,1000,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
17500000,1658,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,Flat
2450000,630,2,2,1,Ready to Move,Resale,1,,,Flat
7300000,1742,3,2,1,Ready to Move,Resale,,,2,Flat
14500000,1650,3,2,3,Ready to Move,Resale,,,,Individual House
4800000,950,2,2,3,Ready to Move,Resale,,,,Flat
4200000,800,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
12800000,1472,2,3,3,Ready to Move,New Property,1,,3,Flat
27500000,2250,4,4,2,Ready to Move,New Property,,,,Flat
12000000,1850,3,4,,Ready to Move,Resale,2,,,Flat
7500000,900,2,2,1,Ready to Move,Resale,,,,Individual House
3500000,1050,2,2,,Ready to Move,Resale,2,Furnished,,Flat
3850000,720,2,2,1,Ready to Move,Resale,,Unfurnished,,Individual House
8000000,1550,3,2,2,Ready to Move,Resale,1,,3,Flat
4350000,1300,3,3,,Ready to Move,Resale,,,,Flat
9000000,1536,2,2,4,Ready to Move,Resale,1,,,Individual House
5000000,1285,2,2,4,Ready to Move,Resale,,Unfurnished,,Flat
5800000,1350,3,2,2,Ready to Move,Resale,2,Semi-Furnished,,Individual House
4200000,1335,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
8900000,1000,2,2,2,Ready to Move,Resale,2,Semi-Furnished,0,Flat
9500000,1811,3,3,4,Ready to Move,New Property,,,,Individual House
4600000,1175,3,2,3,Ready to Move,Resale,,,3,Flat
20000000,1700,3,3,,Ready to Move,Resale,,,,Flat
2900000,554,2,2,,Ready to Move,Resale,1,,,Flat
13500000,1500,4,3,,Ready to Move,Resale,,,,Flat
4000000,1250,2,2,,,Resale,,Unfurnished,,Flat
28000000,2200,6,5,2,Ready to Move,Resale,1,Semi-Furnished,,Flat
4000000,850,2,2,1,Ready to Move,Resale,1,,0,Flat
8000000,1000,2,2,,Ready to Move,Resale,,,,Flat
12900000,1400,3,2,2,Ready to Move,Resale,,,,Flat
9000000,1325,3,2,3,Ready to Move,Resale,,,,Flat
3200000,840,2,2,2,Ready to Move,Resale,1,,2,Flat
4100000,1065,3,2,3,Ready to Move,New Property,,,,Flat
7000000,1585,3,3,3,,Resale,,Semi-Furnished,,Flat
45000000,2700,4,4,2,Ready to Move,Resale,2,Semi-Furnished,1,Flat
7500000,1515,3,3,3,Ready to Move,Resale,,,3,Flat
7100000,900,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
7000000,1135,2,2,1,Ready to Move,Resale,,,,Flat
8000000,1500,3,3,1,Ready to Move,Resale,1,Semi-Furnished,2,Flat
60000000,5000,5,6,4,Ready to Move,Resale,2,,,Flat
5450000,1470,3,2,3,Ready to Move,Resale,,,2,Flat
22000000,2700,4,4,2,Ready to Move,Resale,3,Semi-Furnished,1,Flat
15000000,2275,3,4,5,Ready to Move,Resale,1,,3,Flat
4900000,1475,3,3,3,Ready to Move,Resale,1,Unfurnished,2,Flat
12800000,1837,3,3,2,,Resale,1,Semi-Furnished,,Flat
18000000,2400,4,2,3,Ready to Move,Resale,,Unfurnished,,Flat
9000000,1950,4,3,4,Ready to Move,Resale,,,,Flat
14500000,1935,3,4,3,Ready to Move,Resale,,,,Flat
32500000,2400,3,3,3,Ready to Move,Resale,2,Furnished,0,Flat
26000000,2430,3,3,2,Ready to Move,Resale,1,Semi-Furnished,1,Flat
5900000,995,2,2,3,Ready to Move,Resale,1,,2,Flat
4800000,1000,3,3,2,Ready to Move,Resale,,Unfurnished,,Flat
12000000,1983,3,3,5,Ready to Move,Resale,2,,2,Flat
7800000,1295,2,2,2,Ready to Move,Resale,1,,,Individual House
7000000,1820,3,3,3,Ready to Move,Resale,2,,1,Flat
3500000,800,2,2,,Ready to Move,Resale,1,Semi-Furnished,,Flat
10800000,1895,3,3,,Ready to Move,Resale,,,,Flat
9200000,1000,2,2,2,Ready to Move,Resale,1,Furnished,,Individual House
10000000,1800,3,3,1,Ready to Move,New Property,1,Unfurnished,1,Flat
4800000,1487,3,2,3,Ready to Move,Resale,,,,Flat
17500000,2400,3,3,2,Ready to Move,Resale,2,,1,Flat
13500000,2300,3,3,3,Ready to Move,Resale,1,Furnished,,Flat
8500000,1545,3,3,,Ready to Move,Resale,,,,Flat
4500000,1000,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
15800000,2300,3,3,,Ready to Move,Resale,1,Semi-Furnished,2,Flat
32500000,1829,3,3,,,Resale,,Furnished,,Individual House
6900000,1362,3,3,4,,Resale,1,Furnished,2,Flat
9000000,1380,3,2,4,Ready to Move,Resale,,,3,Flat
2500000,560,2,2,1,Ready to Move,Resale,1,Semi-Furnished,,Flat
29500000,3000,4,4,,Ready to Move,Resale,,,,Flat
2200000,900,2,2,1,Ready to Move,Resale,,,0,Individual House
14800000,2050,3,4,4,Ready to Move,Resale,,,,Flat
47500000,4600,5,6,2,Ready to Move,Resale,,Semi-Furnished,,Flat
9500000,1775,3,3,3,Ready to Move,Resale,2,Semi-Furnished,2,Flat
2950000,1050,2,2,,Ready to Move,Resale,1,,,Flat
2550000,675,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
4500000,1162,3,2,4,,Resale,,Unfurnished,,Flat
3480000,700,2,2,2,Ready to Move,Resale,,Semi-Furnished,,Flat
5400000,1160,2,2,3,Ready to Move,Resale,,,,Flat
7200000,2095,4,3,2,Ready to Move,Resale,2,,2,Flat
4760000,1190,2,2,3,Ready to Move,Resale,1,,3,Individual House
3200000,810,3,2,1,Ready to Move,Resale,,Unfurnished,,Flat
10500000,1695,3,3,3,Ready to Move,Resale,2,Semi-Furnished,3,Individual House
3900000,825,2,2,,Ready to Move,Resale,,Unfurnished,,Flat
12500000,1850,3,3,4,Ready to Move,Resale,2,,2,Flat
6960000,1340,3,3,,Ready to Move,Resale,,,,Flat
2750000,850,2,2,2,,Resale,,Unfurnished,,Flat
35000000,8500,10,7,7,Ready to Move,Resale,3,Semi-Furnished,,Individual House
7700000,1380,2,2,3,Ready to Move,Resale,1,,2,Individual House
6000000,1300,2,2,3,Ready to Move,Resale,1,,2,Flat
6000000,1000,2,2,2,Ready to Move,New Property,1,Unfurnished,,Flat
4500000,1000,2,2,2,Ready to Move,Resale,,Furnished,,Flat
6000000,1350,3,2,3,Ready to Move,Resale,1,,2,Flat
8500000,1380,3,2,5,Ready to Move,Resale,1,,4,Flat
7500000,1170,3,2,1,Ready to Move,Resale,2,Semi-Furnished,1,Flat
4600000,936,3,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
5500000,1646,3,3,,Ready to Move,Resale,,,,Flat
5500000,1000,3,2,1,Ready to Move,Resale,1,Semi-Furnished,,Flat
6690000,1625,3,2,,Ready to Move,Resale,1,,,Individual House
4500000,800,2,2,,Ready to Move,Resale,,Furnished,,Individual House
7600000,1534,3,2,4,Ready to Move,Resale,1,,2,Flat
9000000,1675,3,2,3,Ready to Move,Resale,1,Semi-Furnished,2,Flat
2450000,710,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Individual House
5400000,1290,2,2,3,Ready to Move,Resale,,,,Individual House
9700000,1758,3,4,3,Ready to Move,Resale,,,,Flat
8500000,1569,3,3,3,Ready to Move,Resale,2,,2,Flat
8000000,1488,3,2,1,Ready to Move,Resale,,Unfurnished,,Flat
4200000,1245,3,2,3,Ready to Move,Resale,,,2,Flat
5500000,1200,3,2,1,Ready to Move,Resale,,Semi-Furnished,,Flat
20000000,3250,4,4,4,Ready to Move,Resale,2,,2,Flat
10000000,1850,3,3,2,Ready to Move,Resale,,,0,Individual House
6500000,1350,4,4,1,Ready to Move,Resale,,Unfurnished,,Flat
13600000,2150,3,3,3,Ready to Move,Resale,2,,3,Individual House
14900000,1650,3,3,3,Ready to Move,Resale,1,,1,Individual House
10500000,1650,3,3,2,Ready to Move,Resale,1,Unfurnished,,Flat
11000000,1215,4,3,2,Ready to Move,Resale,,Unfurnished,,Flat
30500000,2700,4,3,2,Ready to Move,Resale,,Unfurnished,,Flat
8500000,1345,3,2,3,Ready to Move,Resale,,,,Flat
24000000,3050,4,4,3,Ready to Move,New Property,7,Semi-Furnished,1,Flat
7600000,1600,3,3,3,Ready to Move,Resale,1,,,Flat
45000000,4064,4,5,5,Ready to Move,Resale,3,,3,Flat
6500000,1100,3,2,3,Ready to Move,New Property,,Unfurnished,,Flat
10500000,1100,2,2,,Ready to Move,Resale,1,Semi-Furnished,,Flat
30000000,4500,7,5,2,Ready to Move,Resale,2,,2,Flat
15000000,2160,3,3,3,Ready to Move,Resale,,Semi-Furnished,,Flat
3000000,785,2,2,,Ready to Move,Resale,,Unfurnished,,Flat
10500000,2600,3,4,4,Ready to Move,Resale,3,,2,Flat
16500000,2465,4,4,4,Ready to Move,Resale,,,,Flat
5700000,1661,3,3,3,,Resale,,Unfurnished,,Flat
5600000,1655,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat
2300000,585,2,2,1,Ready to Move,New Property,,Semi-Furnished,,Flat
15500000,1600,3,2,1,Ready to Move,Resale,2,,2,Flat
7000000,1133,2,2,3,Ready to Move,Resale,,,,Flat
3150000,1050,2,2,3,Ready to Move,Resale,,,,Flat
10000000,1650,3,3,2,,Resale,,Unfurnished,,Flat
3400000,720,2,2,1,Ready to Move,New Property,,Semi-Furnished,,Flat
35200000,2985,3,3,2,Ready to Move,Resale,2,,2,Flat
5000000,1350,3,2,3,Ready to Move,Resale,,,,Flat
3200000,835,3,2,2,Ready to Move,Resale,,,,Flat
9800000,1839,3,4,4,Ready to Move,Resale,,Semi-Furnished,2,Flat
4880000,1180,2,2,3,Ready to Move,Resale,1,Semi-Furnished,2,Individual House
3200000,650,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Individual House
5300000,1175,2,2,,Ready to Move,Resale,,,,Flat
5250000,1100,2,2,1,Ready to Move,Resale,1,Unfurnished,0,Flat
5500000,1400,3,2,1,Ready to Move,Resale,,Unfurnished,,Flat
5000000,1000,2,2,,Ready to Move,Resale,,Unfurnished,,Flat
24400000,2000,3,3,1,Ready to Move,Resale,1,Semi-Furnished,,Flat
4300000,880,2,2,,Ready to Move,Resale,1,Furnished,,Flat
3500000,700,3,2,1,Ready to Move,New Property,1,Semi-Furnished,1,Individual House
12500000,2000,3,3,4,Ready to Move,Resale,,,,Flat
17000000,1500,3,3,3,Ready to Move,Resale,2,,2,Flat
2650000,540,2,2,1,Ready to Move,Resale,,Unfurnished,,Individual House
8000000,1093,2,2,,Ready to Move,Resale,,,,Flat
4000000,1100,3,2,2,Ready to Move,Resale,2,Unfurnished,,Flat
2500000,600,2,2,2,Ready to Move,Resale,1,Furnished,0,Flat
25000000,2700,4,5,4,,Resale,,Semi-Furnished,,Individual House
11000000,1000,2,2,2,Ready to Move,Resale,6,Furnished,,Individual House
11400000,1400,3,3,,Ready to Move,Resale,,,,Individual House
5500000,1146,2,2,2,Ready to Move,Resale,,,,Flat
10600000,1730,3,3,3,Ready to Move,New Property,,Semi-Furnished,3,Flat
11000000,1500,4,4,2,Ready to Move,Resale,,,,Flat
7350000,1435,3,2,4,Ready to Move,Resale,,Unfurnished,,Flat
5000000,1395,3,2,,Ready to Move,Resale,2,,,Flat
3800000,887,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
5000000,1290,3,2,5,Ready to Move,Resale,,,2,Flat
6500000,862,3,3,2,Ready to Move,Resale,4,Semi-Furnished,,Individual House
3100000,1075,2,2,2,Ready to Move,Resale,1,,6,Flat
9000000,1660,3,4,3,Ready to Move,Resale,1,,2,Flat
11000000,2000,3,4,3,,New Property,2,Semi-Furnished,3,Flat
15000000,1350,3,2,1,Ready to Move,Resale,,Unfurnished,,Flat
13500000,1850,4,3,1,Ready to Move,Resale,2,,,Flat
24000000,2000,3,3,3,Ready to Move,Resale,2,Semi-Furnished,,Flat
